Month,Province,Vehicle_type,Cause,Weather_condition,Slope_description
December,Nakhon Sawan,motorcycle,cutting in closely by people/vehicles/animals,clear,other
December,Loburi,private/passenger car,cutting in closely by people/vehicles/animals,clear,other
December,Buri Ram,4-wheel pickup truck,driving under the influence of alcohol,clear,no slope
December,Nong Bua Lam Phu,motorcycle,driving under the influence of alcohol,clear,other
December,Kamphaeng Phet,4-wheel pickup truck,speeding,clear,no slope
December,Sakon Nakhon,4-wheel pickup truck,speeding,clear,no slope
December,Sakon Nakhon,4-wheel pickup truck,speeding,clear,other
December,Phrae,private/passenger car,speeding,clear,no slope
December,Songkhla,motorcycle,speeding,clear,other
December,Phangnga,private/passenger car,speeding,clear,slope area
December,Tak,private/passenger car,driving under the influence of alcohol,clear,no slope
December,Samut Sakhon,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Phayao,motorcycle,driving under the influence of alcohol,clear,no slope
December,Nan,motorcycle,driving under the influence of alcohol,dark,no slope
December,Lamphun,4-wheel pickup truck,speeding,clear,no slope
December,Chaiyaphum,4-wheel pickup truck,speeding,clear,no slope
December,Chiang Mai,motorcycle,speeding,clear,no slope
December,Phayao,motorcycle,driving under the influence of alcohol,clear,no slope
December,Samut Prakan,4-wheel pickup truck,speeding,clear,no slope
December,Chai Nat,private/passenger car,driving under the influence of alcohol,clear,no slope
December,Chiang Mai,motorcycle,speeding,clear,no slope
December,Lamphun,4-wheel pickup truck,speeding,clear,no slope
December,Saraburi,motorcycle,speeding,clear,no slope
December,Surat Thani,4-wheel pickup truck,speeding,foggy,no slope
December,Loburi,private/passenger car,driving under the influence of alcohol,clear,no slope
December,Buri Ram,motorcycle,driving under the influence of alcohol,clear,no slope
December,Buri Ram,motorized tricycle,driving under the influence of alcohol,clear,no slope
December,Kanchanaburi,private/passenger car,cutting in closely by people/vehicles/animals,clear,no slope
December,Kamphaeng Phet,private/passenger car,driving under the influence of alcohol,clear,no slope
December,Loei,motorcycle,speeding,clear,other
December,Nakhon Ratchasima,4-wheel pickup truck,speeding,clear,no slope
December,Nong Khai,private/passenger car,speeding,clear,no slope
December,Suphan Buri,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Roi Et,motorcycle,speeding,clear,no slope
December,Phitsanulok,4-wheel pickup truck,speeding,clear,no slope
December,Loei,4-wheel pickup truck,speeding,clear,slope area
December,Nakhon Ratchasima,private/passenger car,speeding,clear,no slope
December,Chiang Mai,motorcycle,speeding,clear,no slope
December,Chiang Mai,motorcycle,speeding,clear,no slope
December,Pathum Thani,motorcycle,speeding,dark,no slope
December,Phra Nakhon Si Ayutthaya,motorcycle,speeding,clear,no slope
December,Buri Ram,motorcycle,speeding,clear,no slope
December,Khon Kaen,private/passenger car,speeding,clear,no slope
December,Rayong,motorcycle,speeding,clear,no slope
December,Phetchaburi,motorcycle,speeding,clear,no slope
December,Phetchaburi,passenger pickup truck,speeding,clear,no slope
December,Sukhothai,private/passenger car,speeding,clear,no slope
December,Surin,motorcycle,driving under the influence of alcohol,foggy,other
December,Samut Prakan,motorcycle,speeding,clear,no slope
December,Nakhon Si Thammarat,4-wheel pickup truck,speeding,rainy,no slope
December,Tak,private/passenger car,speeding,clear,slope area
December,Suphan Buri,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Udon Thani,4-wheel pickup truck,speeding,clear,no slope
December,Phetchaburi,motorcycle,speeding,clear,no slope
December,Nakhon Sawan,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Suphan Buri,private/passenger car,vehicle equipment failure,clear,no slope
December,Phatthalung,private/passenger car,speeding,clear,no slope
December,Nakhon Ratchasima,motorcycle,speeding,clear,no slope
December,Trat,motorcycle,speeding,clear,no slope
December,Krabi,4-wheel pickup truck,speeding,rainy,no slope
December,Saraburi,motorcycle,speeding,clear,no slope
December,Phra Nakhon Si Ayutthaya,private/passenger car,speeding,clear,no slope
December,Roi Et,motorcycle,driving under the influence of alcohol,clear,no slope
December,Chiang Rai,motorcycle,driving under the influence of alcohol,clear,no slope
